Vmag,Plx,B-V,Amag,TargetClass
9.02,0.8151309108692727,1.096,14.999499,0
7.11,9.158965444443226,0.997,16.76729,1
8.55,33.6712540806566,0.854,21.20995,1
5.96,4.396867012964737,1.397,14.31123,0
4.34,24.542779006915485,0.17,16.216488,1
8.42,2.418959418057869,0.472,16.656914,1
8.56,3.874068748544085,0.446,16.639751,1
9.95,1.2947550547785798,0.251,13.840756,1
9.06,0.7500751507125523,1.433,11.29579,0
5.37,6.107525014356521,1.517,14.4009,0
8.17,3.840992132949284,1.11,15.40579,0
8.73,5.89042320176839,0.563,17.435757,1
9.06,3.9930785086015583,0.513,17.387905,1
7.53,2.331550174536292,1.419,14.47583,0
7.04,7.910210707174321,1.06,16.415306,0
7.78,20.546611315612243,0.641,19.337711,1
7.73,18.846767486253043,0.537,19.211132,1
8.75,1.3334750274617595,0.756,14.797575,1
9.48,7.830303352075884,0.395,18.487019,1
7.07,4.803183255206552,0.99,15.629036,0
8.65,8.151213993828682,0.431,17.68429,1
8.9,5.251094343695416,0.576,17.26049,1
8.28,2.9402812564011693,0.912,15.379778,0
5.83,6.878445027129871,1.042,14.887875,1
8.74,7.364682869802626,0.556,17.7194,1
8.24,2.154273408534917,0.926,14.656506,0
8.04,10.080673184475328,0.53,18.195023,1
9.1,2.8013180886712896,1.241,17.437265,0
8.18,4.419400148365115,0.096,16.195723,1
7.6,5.827889369611855,0.492,17.47486,1
6.04,0.2857480843019049,1.88,11.626356,0
8.41,5.033011196668612,0.341,17.256886,1
9.33,0.2538954831912221,0.432,12.171009,1
5.9,1.0923633457272337,0.274,10.64695,0
9.15,4.9469141784651445,0.987,18.312544,0
8.87,5.147005406153592,0.43,18.47583,1
8.59,0.7683602508326095,1.781,10.302114,0
8.96,3.826694913942934,0.611,17.540016,1
8.98,6.861588314049071,0.443,18.32909,1
7.69,1.578603426721943,1.45,15.0537815,0
7.43,0.0228138518477957,0.09,12.408176,1
9.07,6.273711423116911,0.488,17.715824,1
8.73,4.903469785144475,0.344,17.185408,1
8.13,4.028940206149665,1.001,15.676012,0
9.59,10.241863808351033,0.737,19.508133,1
9.32,4.764535593837756,0.511,17.735235,1
6.05,16.476249642900914,0.338,17.088173,0
7.83,5.325959280530881,0.173,15.861907,1
3.99,11.028493612012754,1.554,14.165147,0
9.63,3.763487392639024,0.385,15.199717,1
5.74,4.780678793124882,0.898,14.269319,0
8.2,15.55788808225259,0.525,18.92287,1
8.72,5.530150163785015,0.267,17.476395,0
5.59,0.0098937546050575,0.325,10.455639,0
6.02,6.031840042341921,-0.042,14.295692,0
9.51,0.1729285321551647,-0.08,12.727263,1
9.21,7.44965670751411,0.404,18.619774,1
8.52,1.70659256133544,1.084,15.232114,0
8.06,2.0930409602017868,1.03,15.288021,0
8.34,2.149837507716823,1.268,15.45623,0
8.84,3.958933645209541,1.202,17.017418,0
8.74,3.3819915311166886,0.892,16.32598,0
9.85,9.072552347075511,0.583,19.313255,1
8.45,4.060366162806943,0.045,16.075224,1
8.47,5.934767248365791,0.337,17.557827,1
8.55,0.8285913639439428,0.931,11.91049,0
7.87,4.360086486021428,1.061,16.35178,0
9.45,10.44006307554026,0.566,19.311012,1
8.96,9.253553943227743,0.483,18.243645,1
8.59,1.19921535569522,1.033,15.5358305,0
8.26,3.154350725382149,1.14,16.535692,0
5.96,8.26910755993931,0.851,15.935982,1
9.47,1.1890600705925358,0.981,15.84079,1
6.59,2.722668505089296,-0.03,14.335016,0
8.12,4.699610607460432,0.436,16.361801,0
9.13,11.824672848365552,0.652,19.687992,1
9.26,1.908865382128981,0.433,17.259415,1
8.34,5.250313167159998,0.386,17.294943,1
8.55,3.824304347600034,0.98,15.191898,0
7.53,2.7783343918443246,1.017,14.545603,0
8.95,4.686083888540039,0.392,17.34714,1
9.63,14.46240231207044,0.827,20.15414,1
9.08,0.7832017028564708,1.453,14.61605,0
9.45,1.5658684566555845,1.361,10.602244,1
0.45,22.772037949909556,-0.158,12.228215,1
6.71,6.523685200374567,1.109,15.916798,0
2.4,41.34356076297065,1.083,15.523474,0
8.08,3.076697452949785,1.242,15.978918,0
7.72,7.446464333576508,0.416,17.289068,1
9.53,6.21230741205968,0.54,18.849586,1
7.14,0.9214914616589908,1.575,12.028618,0
8.55,7.38798105164442,0.347,17.781685,1
6.75,7.729368895366701,1.127,16.125305,0
9.63,7.0714928798783845,0.586,18.861687,1
7.55,8.610104726982623,1.0,17.490564,0
9.85,2.677559891981716,1.176,15.93742,0
9.11,2.5068324283223475,1.221,14.679716,0
8.94,5.176402384342696,0.676,18.447292,1
8.13,4.551458551149164,1.527,16.068554,0
7.9,4.403016619605753,1.198,15.921131,0
8.53,4.317105345085816,1.379,16.702385,0
5.45,2.384357739846432,1.644,12.39583,0
8.59,1.8865898267407408,1.222,14.527604,0
9.7,6.846764977200199,0.893,18.579872,1
8.1,13.112487004981505,0.595,18.67639,1
8.21,5.086942840100796,1.013,16.033329,0
7.06,5.601001301178607,1.52,15.865879,0
7.29,5.070937435372102,1.064,15.943912,0
9.36,2.1788572704662883,0.502,15.939852,1
7.59,1.5001817558004027,0.309,13.176357,0
6.92,1.0214122244932462,1.571,12.756587,0
9.26,8.67385646110063,0.788,18.94257,1
9.21,0.1229150538141194,1.074,14.475392,0
7.69,5.095750094587082,0.354,16.274189,0
8.57,8.27462626362114,0.463,18.391298,1
6.48,4.263709820225842,0.122,15.043249,1
8.56,6.659072381730992,1.132,16.329416,0
9.18,0.935042649572298,1.169,12.3473425,0
8.18,10.324482199791968,0.487,18.064041,1
8.58,3.025794097269175,1.535,16.224583,0
7.86,3.129649759042339,0.941,15.764626,0
8.14,1.8176093316654005,1.599,12.95894,0
3.46,27.442143010806387,1.161,15.674748,0
8.62,11.175892014554584,0.587,18.893066,1
8.38,2.417330967713165,1.298,15.188639,0
8.34,1.6297962842277531,1.085,16.625278,0
4.44,7.961051086383526,1.64,13.544291,0
7.97,6.097613228086727,1.077,16.896648,0
8.69,6.36440452220282,0.969,17.924776,0
8.48,2.281998768822071,1.199,15.612556,0
8.11,5.131615562142475,0.144,16.578636,1
7.21,8.237266845694034,1.087,16.687113,0
9.14,1.5084263093973025,1.127,16.71937,0
7.44,2.9403334442578446,1.654,14.604847,0
9.23,0.3011097388870779,1.154,13.851397,0
8.09,8.290740282612965,0.454,17.759966,1
8.23,4.363023587909416,1.294,15.402843,0
7.95,11.481911098674273,0.818,18.22689,1
9.1,4.049503418439658,1.13,15.982885,0
8.68,10.23577630258509,0.45,18.66037,1
8.12,17.427292491195793,0.661,19.508045,1
8.16,7.664896648691212,0.488,17.470657,1
8.55,3.2157390785042246,0.692,16.75737,1
7.57,10.798150967080916,0.43,17.755138,1
9.4,4.403992870680389,1.108,16.674225,0
7.61,3.5116505788740824,0.968,15.8904915,0
6.81,7.4432815485431965,1.225,16.408005,0
7.83,4.188171473314664,1.074,16.840446,1
9.34,15.68696889541805,0.655,20.247787,1
7.88,22.07961105770118,0.579,19.558292,1
7.52,2.772762227563642,1.211,13.913769,0
9.13,4.9487285814481,0.526,18.270077,1
4.74,10.00570601833261,0.032,14.843876,1
8.64,2.271984436858469,1.288,14.916363,0
8.52,3.350972547248006,1.585,12.952454,0
8.37,20.074036575814876,0.656,19.952995,1
8.56,3.571423283140997,0.241,16.92049,0
10.19,6.623953999974996,0.528,18.899696,1
6.16,6.6681643843073655,0.893,15.2936125,0
9.34,1.839400154055321,1.095,15.664089,0
6.44,4.6969888866617815,1.608,14.477276,0
6.75,5.507733097482967,1.14,14.942446,0
8.7,11.040069692412873,0.427,18.810078,1
8.62,3.707236254020258,1.248,16.74141,0
6.93,1.517829504202799,1.596,13.478151,0
6.52,15.222473507827647,0.214,17.310305,1
8.65,4.032355173806345,0.061,16.83244,1
6.33,14.318888979175744,0.113,17.008842,1
9.17,5.257582201326725,0.546,17.745836,1
8.02,7.450643465204733,0.349,17.401089,1
10.44,3.04280094186506,0.34,15.992949,1
7.38,3.3880463976084307,0.996,15.454486,0
7.82,2.527722844718043,0.182,14.748032,1
6.03,24.75579354158872,0.382,17.995241,1
9.02,3.6363686633954826,0.947,15.88456,0
9.46,1.8713196471895408,0.94,14.99605,1
6.3,4.05193293049846,1.34,13.957395,0
6.01,26.69333339038408,0.549,18.06051,1
8.63,2.979474257858163,1.194,16.857111,1
9.22,5.374766165714704,0.993,16.50941,0
7.56,5.049916797929029,1.14,16.253902,0
5.63,12.187550706767553,0.214,16.05288,1
8.64,0.7208935202791742,1.219,10.14515,0
6.89,5.886266140152587,1.03,15.744261,0
6.62,2.5314484898167016,0.478,14.947905,1
6.85,8.901455724156413,1.028,16.421715,0
8.53,5.868708613334488,0.848,17.467302,1
7.72,7.702366252958425,0.701,17.163704,1
7.88,5.875686782915232,0.72,16.501379,1
8.74,2.5261916051159137,0.349,16.210773,1
7.88,24.044176010331125,0.716,19.66013,1
8.54,2.295537882769417,1.31,15.5297,0
8.69,7.433397494989768,0.575,18.31398,1
6.82,7.430455959578761,0.962,15.553171,0
7.62,2.3237556481252244,1.56,14.635603,0
8.34,5.544532784758868,0.973,17.219872,0
6.88,0.8222720880052121,1.631,8.5921135,0
7.99,7.465982843403974,0.907,17.516281,0
6.57,7.294865236024076,0.921,15.631224,0
6.59,7.980858072881512,1.102,16.29009,0
7.94,10.96321444987823,0.383,18.260418,0
7.78,9.47978593627058,0.459,17.629408,1
10.42,1.6001159608846949,0.509,16.767565,1
11.54,23.012130550735552,1.34,23.222298,1
7.91,2.7775553665499806,1.23,15.02623,0
7.17,5.494584163628172,1.352,15.699319,0
9.05,2.2417665709743297,0.491,17.41971,1
8.28,6.974687820357418,0.902,17.104614,1
8.78,7.569572791527238,0.9,18.56084,0
9.42,32.070772600701495,1.163,21.997383,0
4.26,5.318094497338698,0.012,12.49202,0
9.16,5.4229387547334245,0.504,18.491436,1
5.13,8.873085450689,-0.128,14.640015,1
8.53,21.367923756728132,0.705,20.06641,1
9.51,0.6549966051542987,1.2,14.905907,0
7.39,12.624144806165246,0.397,17.964722,1
8.53,1.1314689129128497,1.315,10.9156065,0
8.3,1.4916570112581395,1.171,14.51519,0
9.23,9.617310367921826,0.633,18.807,1
8.78,0.1864450663475679,1.315,11.896246,0
9.41,3.7672173824671904,1.31,17.551945,0
6.91,3.6010786791464544,1.123,14.7451315,0
5.72,2.641311306875646,1.545,13.630318,0
8.07,6.423457602955576,0.328,16.879639,0
9.03,6.179790705782384,1.096,17.408892,0
8.93,18.82311545835462,0.677,20.002895,1
7.08,3.5750569634899327,1.641,15.149209,0
4.66,40.51134423621906,0.333,17.794268,0
6.97,2.7977823768680645,1.377,14.502525,0
10.1,8.21789884691042,0.67,19.78257,1
8.74,0.675917359795354,1.021,13.056614,1
8.26,2.1870301181584426,1.113,13.193859,0
7.6,0.7285386082891715,0.101,13.436586,0
9.73,11.609714573276364,0.773,19.808893,1
9.22,2.723262826807426,0.627,17.382286,1
8.27,4.707494353003886,1.087,16.191658,0
9.31,17.20766982641226,0.733,19.98248,1
8.57,5.561245024394416,0.301,17.489517,1
7.66,9.545237389488635,0.308,17.47894,1
6.58,3.1956511381931207,0.021,14.501657,1
7.41,0.818696789521466,1.52,6.92545,0
7.26,5.721628609601353,1.061,15.953903,0
9.25,7.61165172267866,0.3,18.648346,0
5.66,4.720588432816959,-0.113,13.822287,1
9.69,6.623665173969596,0.72,19.133705,1
6.92,4.432552263856571,1.383,15.005002,0
8.48,1.2520342535473987,1.461,13.368618,1
9.93,1.412213742409446,0.539,18.071945,1
7.48,4.378553704347643,1.614,12.929525,0
6.11,6.581919605173245,0.265,15.224108,1
5.51,27.48084570547625,0.321,17.71061,1
6.99,1.392973698739352,1.625,12.673603,0
7.99,2.247895453918722,1.58,15.248932,0
9.27,4.31851639682794,1.007,16.482399,0
8.15,5.728876134713657,0.029,17.007938,1
9.56,9.771670740951723,0.61,19.480385,1
8.86,8.407960130972326,0.575,18.926292,1
5.3,9.651535018559969,0.891,15.18175,0
9.03,3.3693237500267816,0.972,15.11742,1
8.68,2.532643410982636,1.238,15.450542,0
8.54,1.900783448617651,1.618,14.979009,0
8.25,3.970361613785837,0.38,16.391945,0
9.71,1.8861839547251988,0.915,14.407597,1
8.21,1.7549655334048426,1.059,14.244129,0
7.25,10.822691498579111,0.84,17.214975,1
9.98,4.308925891407936,0.439,14.549068,1
7.39,0.6112017654052465,1.579,12.959717,0
9.67,4.914308158041032,0.43,17.95528,1
9.54,9.044977171746012,0.6,19.060871,1
8.68,12.14744188463391,0.463,18.877071,1
6.1,7.8866291022300015,1.028,15.452019,0
9.33,2.415761994015466,0.977,16.744368,0
8.47,0.760572535673135,2.155,15.343742,0
7.98,4.072151464791348,1.061,15.867458,0
6.52,6.618166030497121,0.987,15.571163,0
8.57,21.65565704073436,0.695,20.369179,1
9.68,6.479235967535904,0.455,18.864784,1
7.89,0.1453709385694549,0.457,12.823858,0
9.37,7.312989813842256,0.581,19.0626,1
10.06,47.29517466937412,1.365,23.384151,1
9.2,3.4614096425046386,1.23,16.698435,0
9.04,3.745353188393497,0.47,17.414307,1
5.55,4.499508251066134,1.262,14.63452,0
8.93,1.7427982759043836,1.573,13.472425,0
8.71,2.3358273516628194,1.106,15.890814,0
7.0,10.113870179744396,0.534,16.856379,1
8.88,6.039044174879597,0.605,17.831425,1
7.11,5.040599012077387,1.187,15.574234,0
7.94,0.1099692625090744,1.435,11.157263,0
5.53,5.340253723513984,1.615,14.362064,0
6.82,0.5986358072811783,1.151,10.400017,0
8.01,1.5032182101288294,1.525,14.274265,0
8.92,2.554111792233838,1.093,14.681442,0
8.34,3.901208178734558,0.158,16.272938,1
9.1,0.9252883255890556,1.438,15.26498,0
9.02,3.378809133919521,1.003,16.991962,1
8.99,8.842172267791176,0.548,17.955458,1
6.97,2.0251647832388864,1.52,14.412753,0
9.28,7.066226940341707,0.569,17.735409,1
8.12,3.4632010989201127,0.93,16.526207,0
6.69,7.360302714538533,0.999,16.056602,0
10.23,10.727239601217969,0.786,20.245146,1
8.56,4.378234220538516,0.095,16.650242,1
8.09,3.1709800923115017,1.125,15.734584,0
9.09,8.553149455304755,0.722,18.388693,1
9.15,26.69063254361976,0.887,21.310837,1
7.92,21.714538459391488,0.991,19.451054,1
7.66,20.52821877532917,0.741,19.212406,1
8.21,2.0159764521509738,1.565,14.637787,0
10.21,6.762594964244723,0.628,18.33141,1
8.84,0.569214526449251,1.496,15.104265,0
5.94,10.541738341462134,0.975,16.060375,0
8.47,10.2401928462756,0.407,18.091396,1
9.33,8.611110681428187,0.48,18.482944,1
8.13,8.684129835717835,0.471,17.753979,1
8.28,2.1106136335769303,1.032,15.354866,0
7.66,2.364782047656995,1.405,13.583457,0
9.27,3.600436757234271,1.065,16.959095,0
7.0,20.74607925409343,0.545,18.53534,1
9.02,0.9297067881062436,0.958,15.893742,0
6.42,5.685016103772446,1.241,14.78049,1
8.88,0.4136533095131343,0.428,14.347109,1
9.23,6.305641640277351,0.508,18.135185,1
9.32,1.5666230969696109,-0.154,14.839018,0
8.25,6.204266457702872,0.927,17.456799,0
9.6,7.4867020101816815,0.549,19.093626,1
8.56,2.798759237270853,1.134,15.34013,0
7.04,2.528651662214626,1.428,14.35199,0
8.2,0.3518721493449641,1.308,10.189699,0
9.28,0.4652057525715805,0.16,15.01064,0
5.51,27.690713470244525,0.334,17.733347,1
8.22,9.420532639264051,0.52,18.048359,1
9.07,9.5970214119108,0.502,18.69398,1
6.21,3.767145079153885,1.482,14.159748,0
7.91,1.4193001120990023,1.131,12.582492,0
7.95,5.984779997298693,0.317,17.313694,1
8.67,1.5497753009765245,1.144,15.382113,0
8.53,14.472682334514571,0.647,19.444923,1
8.94,3.3697885350755965,1.532,17.277264,0
8.88,1.649886923055566,0.0,15.904169,1
8.05,8.800344637811428,1.072,17.732569,0
8.12,3.299835187333485,1.496,14.98456,0
8.58,7.139342925144165,0.417,18.057114,1
7.17,26.073985888678408,0.593,19.355581,1
8.26,4.233812605582864,1.579,14.972114,0
9.11,6.670192616641674,0.458,18.414684,1
7.83,5.700639450625429,0.918,16.767303,0
8.94,3.5054735646854467,1.137,16.259464,0
6.49,1.7522565264920071,0.776,11.696963,0
11.14,3.57259920310241,0.041,17.487564,1
9.2,9.542096119325384,0.573,18.922413,1
9.11,6.810818605859558,0.753,18.23713,1
8.98,2.137403138166737,1.6,13.440473,0
8.9,1.868808174389458,1.15,16.048761,0
8.97,13.585852247601132,0.564,19.644072,1
6.8,0.2532679109009732,2.02,10.25098,0
10.17,2.439491820333972,0.472,17.318762,1
8.56,2.920236954605125,1.477,15.320913,0
9.33,2.8674324777685185,0.488,15.677565,1
3.74,12.900194728215997,1.136,14.240128,0
8.17,3.1257343845026475,1.048,15.640773,0
8.43,4.588626537063883,0.616,16.241465,1
9.35,2.7674048770589903,0.36,16.868954,1
8.3,0.8072141434756317,0.382,11.255323,0
8.33,1.9463883177346104,1.099,15.573532,0
8.82,1.308330438256483,1.311,14.59668,0
6.32,26.637831362466454,0.517,18.443592,1
8.75,2.9712690831029978,1.252,15.730997,0
8.54,5.564102527796234,0.23,16.849064,1
7.62,4.959709359576146,1.148,16.008034,0
10.06,2.33886925266311,0.716,17.95892,1
9.74,7.390808591917807,0.569,19.430096,1
8.4,3.361278159879513,0.977,16.089096,0
8.01,1.1752153937312415,1.073,13.074186,0
9.66,11.167514810097243,0.684,20.413782,1
8.62,1.0387935063926037,0.124,16.245224,0
8.09,3.790608777035522,1.304,14.495167,0
9.08,2.337467043727971,1.031,15.045623,1
9.93,2.530819274618306,1.054,6.43515,0
7.97,10.329106036135592,0.376,18.078012,0
9.5,6.197006887215309,0.54,18.458454,1
6.95,8.755970604017543,1.06,16.227596,1
8.3,15.235007358589728,0.619,19.121765,1
12.23,38.80109501859082,1.436,24.97256,1
9.46,2.52455283573734,0.944,17.852592,0
7.86,4.413286389482391,1.153,15.787304,0
7.39,4.052237157485864,1.077,15.957453,0
8.86,4.005985781899307,0.348,17.761585,1
8.08,2.68356031617828,0.221,15.421737,1
8.79,3.362637601955952,1.127,16.911411,0
8.96,0.3369317549930586,1.445,15.879077,0
8.44,7.973579262871908,0.533,17.677864,1
8.51,0.4916634611944346,0.64,19.327297,1
8.93,1.773712587987188,0.956,15.82199,1
5.7,12.075429114605663,1.005,16.311077,1
6.99,1.357538317754199,1.59,13.473326,0
8.91,0.0413822179470418,0.996,5.4151497,0
7.99,6.967499526377853,0.475,16.761742,1
8.78,2.952201020615508,0.576,16.50034,1
6.19,6.287788931235271,1.546,14.946396,0
8.55,2.786451170361345,1.012,16.402714,0
8.19,2.893192332138545,1.08,14.454265,0
8.69,1.606707092410032,0.256,15.095167,0
6.13,3.6978298332772015,1.652,14.476584,0
9.15,11.242469235304242,0.483,19.197254,1
8.74,2.6539337447931297,0.4,17.105104,1
8.67,11.69719844222132,0.7,19.105356,1
6.28,13.999249961104992,0.763,16.969934,1
6.52,8.329712610399994,1.05,15.797596,0
7.35,6.531479458754814,0.505,16.639675,1
9.78,4.381714279933934,0.504,14.668617,1
9.06,11.166288035989238,0.586,19.412037,1
8.36,16.494084793448003,0.591,19.474882,1
6.66,12.903852056405052,0.457,17.212948,1
7.36,4.709105025205552,1.029,15.645279,0
9.32,8.085500078304234,0.546,18.741142,1
7.5,13.979117372320824,0.461,18.154884,1
5.24,13.36447607637976,0.356,15.8197155,0
9.6,1.845164053764473,0.496,15.509218,1
9.89,10.820270707195256,0.609,19.328087,1
9.53,3.1683512595988432,1.203,17.479748,0
8.46,5.562470682407991,0.438,17.849735,1
9.34,9.573546040613763,0.695,19.437658,1
9.09,15.815804000368743,0.617,19.829927,1
9.21,6.793543725751713,0.784,17.64318,1
7.37,3.342564464192671,0.955,16.079697,0
6.92,1.6338407766046714,2.04,12.16609,0
8.94,1.2489454907549529,0.801,16.486012,0
4.68,16.124775700389016,0.991,15.695166,0
8.96,3.774988920548465,0.503,17.810577,1
9.54,3.952200370256363,1.374,17.5933,0
6.35,3.478893033837742,-0.044,14.963169,1
8.94,4.374040635789074,1.016,18.024519,0
7.42,10.063869849296603,0.362,17.454468,1
8.35,2.6461227109080534,1.004,16.231709,0
7.77,0.9727727686748886,1.604,13.25455,0
8.57,2.93151882295794,0.934,15.653202,0
7.34,1.3185450883633485,1.474,11.119374,0
6.51,0.7870012688984412,1.864,11.398619,0
9.38,3.2281287031804684,0.478,17.972507,1
8.27,8.226053055492,0.879,17.656857,1
9.08,4.321444037901031,0.315,18.154566,1
8.02,3.277913198958737,1.223,15.263533,0
9.04,7.662178043819509,0.607,18.725079,0
9.67,0.9815643907907216,0.532,15.86023,1
7.86,3.728505291816997,1.02,16.022287,0
8.84,17.68722732501655,0.833,20.00244,1
4.86,5.616742208304273,1.634,13.732584,0
7.86,4.654042409602275,1.012,16.36352,1
9.35,5.708452755888011,0.244,18.824348,0
6.47,5.386656239440709,-0.049,15.275879,0
3.56,9.934911662104705,1.214,13.817692,0
9.17,0.4258883432257085,0.993,14.565907,0
2.66,32.585839994664326,0.16,15.240031,1
8.25,20.13998857351932,0.646,19.844488,1
7.32,22.98027607087082,0.622,19.145567,1
9.26,3.599825282651149,1.149,15.754266,0
9.18,15.184959843822549,0.679,20.31171,1
9.27,1.8507033664554884,0.61,18.470531,1
8.49,7.063284628522109,0.614,18.430565,1
7.39,2.611521849652472,-0.013,13.948769,1
8.4,0.4248190307054085,1.166,14.5265465,1
6.82,10.936679383982648,0.257,17.09115,0
7.65,1.923345605576344,1.503,12.97229,0
10.74,28.55248439981837,1.101,23.028652,1
6.68,5.361688102090773,0.986,15.230587,0
8.42,4.127011263032806,1.005,16.505001,0
9.29,2.462554484779763,1.096,16.953772,0
8.66,1.7786869594360455,1.507,14.375074,0
7.36,13.030184321780167,0.36,17.849754,1
9.15,3.928557061265889,1.438,16.662136,0
7.42,16.241222208760085,0.51,18.426987,1
7.9,2.986638154826632,1.157,15.1124,0
8.04,5.574597051599551,1.039,16.35379,1
9.26,7.324960194253856,1.238,17.921968,0
